Dataset : SA
N times : 1
TAU : 1.8
39.06663307721375 Overall accuracy (%)
25.612862168783877 Kappa accuracy (%)
36.44041896700621 Average accuracy (%)

              precision    recall  f1-score   support

           0       0.45      0.39      0.41      2004
           1       0.23      0.30      0.26      1389
           2       0.60      0.57      0.59      3574
           3       0.69      0.36      0.47      6198
           4       0.09      0.30      0.14       911
           5       0.18      0.27      0.22      1802

    accuracy                           0.39     15878
   macro avg       0.37      0.36      0.35     15878
weighted avg       0.51      0.39      0.42     15878

[[ 773  482  749    0    0    0]
 [ 380  420  589    0    0    0]
 [ 582  954 2038    0    0    0]
 [   0    0    0 2206 2045 1947]
 [   0    0    0  290  271  350]
 [   0    0    0  695  612  495]]
