dataset,encoder,tau,n_times,run,OA,KA,AA
IP,conv_sa,1.8,1,1,96.41,95.69,96.41
IP,conv_sa,1.8,1,2,93.81,92.57,93.81
IP,conv_sa,1.8,1,3,94.76,93.71,94.76
IP,conv_sa,1.8,1,4,95.30,94.36,95.30
IP,conv_sa,1.8,1,5,95.81,94.97,95.81
IP,conv_sa,1.8,5,1,98.38,98.06,98.38
IP,conv_sa,1.8,5,2,98.12,97.75,98.12
IP,conv_sa,1.8,5,3,97.29,96.75,97.29
IP,conv_sa,1.8,5,4,97.46,96.95,97.46
IP,conv_sa,1.8,5,5,98.98,98.77,98.98
IP,conv_sa,1.8,10,1,98.71,98.45,98.71
IP,conv_sa,1.8,10,2,97.94,97.53,97.94
IP,conv_sa,1.8,10,3,98.77,98.53,98.77
IP,conv_sa,1.8,10,4,98.38,98.05,98.38
IP,conv_sa,1.8,10,5,98.71,98.45,98.71
IP,conv_sa,1.8,15,1,98.38,98.05,98.38
IP,conv_sa,1.8,15,2,98.31,97.97,98.31
IP,conv_sa,1.8,15,3,97.59,97.10,97.59
IP,conv_sa,1.8,15,4,99.60,99.51,99.60
IP,conv_sa,1.8,15,5,97.83,97.40,97.83
IP,conv_sa,1.8,20,1,99.26,99.12,99.26
IP,conv_sa,1.8,20,2,99.50,99.40,99.50
IP,conv_sa,1.8,20,3,98.14,97.77,98.14
IP,conv_sa,1.8,20,4,97.68,97.22,97.68
IP,conv_sa,1.8,20,5,99.63,99.56,99.63
IP,conv_sa,1.8,25,1,98.65,98.38,98.65
IP,conv_sa,1.8,25,2,99.07,98.88,99.07
IP,conv_sa,1.8,25,3,99.08,98.89,99.08
IP,conv_sa,1.8,25,4,99.72,99.66,99.72
IP,conv_sa,1.8,25,5,99.21,99.06,99.21
